NUMBER	NAME	ELEV	LAT	LON
290050	Etorofu-Atosanupuri [Atosanupuri]	1206	44.808	147.131
290070	Etorofu-Yakeyama [Grozny Group]	1158	45.012	147.871
372020	Eyjafjallajokull	1651	63.633	-19.633
284140	Farallon de Pajaros	337	20.546	144.893
382010	Fayal	1043	38.6	-28.73
221190	Fentale	2007	8.975	39.93
311350	Fisher	1112	54.65	-164.43
342140	Flores	1600	14.308	-89.992
382001	Flores	914	39.462	-31.216
384010	Fogo	2829	14.95	-24.35
223001	Fort Portal	1615	0.7	30.25
320010	Fort Selkirk	1239	62.93	-137.38
233020	"Fournaise, Piton de la"	2632	-21.244	55.708
373070	Fremrinamar	970	65.416	-16.666
312010	Frosty	1728	55.067	-162.835
342090	Fuego	3763	14.473	-90.88
383050	Fuerteventura	529	28.358	-14.02
283030	Fujisan	3776	35.361	138.728
282091	Fukue	315	32.657	128.849
382100	Furnas	805	37.77	-25.32
221150	Gabillema	1459	11.08	41.27
221050	Gada Ale	287	13.975	40.408
334070	Galapagos Rift	-2430	0.792	-86.15
351080	Galeras	4276	1.22	-77.37
255062	Gallego	1000	-9.35	159.73
263140	Galunggung	2168	-7.25	108.058
268060	Gamalama	1715	0.8	127.33
300210	Gamchen	2539	54.974	160.703
268040	Gamkonora	1635	1.38	127.53
320200	Garibaldi	2678	49.85	-123
320190	Garibaldi Lake	2316	49.933	-123
252030	Garove	368	-4.687	149.511
252060	Garua Harbour	565	-5.3	150.07
257020	Gaua	797	-14.27	167.5
221230	Gedamsa	1873	8.357	39.188
263060	Gede-Pangrango	3008	-6.77	106.965
353081	Genovesa	64	0.32	-89.958
214070	Ghegham Volcanic Ridge	3597	40.283	45
321020	Glacier Peak	3213	48.112	-121.113
341097	"Gloria, La"	3500	19.33	-97.25
323170	Golden Trout Creek	2886	36.358	-118.32
253041	Goodenough	220	-9.48	150.35
300070	Gorely	1799	52.559	158.03
382040	Graciosa	402	39.02	-27.97
383040	Gran Canaria	1950	28	-15.58
344101	Granada	300	11.92	-85.98
371060	Grimsnes	200	64.05	-20.883
373010	Grimsvotn	1719	64.416	-17.316
352020	Guagua Pichincha	4784	-0.171	-78.598
355093	Guayaques	5598	-22.895	-67.566
343052	Guazapa	1438	13.9	-89.12
221124	Gufa	600	12.55	42.53
263130	Guntur	2249	-7.143	107.84
284050	Hachijojima	854	33.137	139.766
283250	Hachimantai	1613	39.958	140.854
275001	Hainan Volcanic Field	196	19.905	110.229
283280	Hakkodasan	1585	40.659	140.877
283020	Hakoneyama	1438	35.233	139.021
283050	Hakusan	2702	36.155	136.771
332060	Haleakala	3055	20.708	-156.25
306040	Halla	1919	33.361	126.53
221022	Hanish	422	13.72	42.73
252100	Hargy	1148	-5.33	151.1
231001	Harrat Ash Shamah	1100	32.333	37.583
283122	Harunasan	1449	36.477	138.851
213002	Hasan Dagi	3253	38.13	34.17
275040	Haut Dong Nai	1000	11.6	108.2
231110	"Haylan, Jabal"	1550	15.4	45.1
241140	Healy	-980	-35.004	178.973
234010	Heard	2745	-53.106	73.513
372070	Hekla	1490	63.983	-19.666
370020	Helgrindur	986	64.866	-23.283
324040	Hell's Half Acre	1631	43.5	-112.45
371050	Hengill	803	64.083	-21.416
383020	Hierro	1500	27.73	-18.03
283131	Hiuchigatake	2356	36.955	139.285
390110	Hodson	835	-56.712	-27.176
371090	Hofsjokull	1765	64.833	-18.766
285020	Hokkaido-Komagatake	1131	42.063	140.677
222070	Homa Mountain	1751	-0.38	34.5
322010	Hood	3426	45.374	-121.695
320080	Hoodoo Mountain	1850	56.78	-131.28
371051	Hromundartindur	550	64.083	-21.333
332040	Hualalai	2523	19.692	-155.87
354005	Huambo	4550	-15.83	-72.13
357123	Huanquihue Group	2189	-39.887	-71.58
354030	Huaynaputina	4850	-16.608	-70.85
390028	Hudson Mountains	749	-74.33	-99.42
358057	"Hudson, Cerro"	1905	-45.9	-72.97
358030	Huequi	1318	-42.377	-72.578
261280	Hulubelu	849	-5.334	104.59
261200	Hululais	2122	-3.247	102.239
341093	"Humeros, Los"	3150	19.68	-97.45
253050	Iamalele	200	-9.52	150.53
268030	Ibu	1325	1.488	127.63
300710	Iettunup	1340	58.4	161.08
222161	Igwisi Hills	1146	-4.889	31.933
263350	Ijen	2769	-8.058	114.242
300670	Iktunup	2300	58.08	160.77
313020	Iliamna	3053	60.032	-153.09
264220	Iliboleng	1659	-8.342	123.258
264240	Ililabalekan	1018	-8.55	123.38
264170	Ilimuda	881	-8.479	122.761
264250	Iliwerung	1018	-8.53	123.57
352041	Illiniza	5248	-0.659	-78.714
343060	Ilopango	450	13.672	-89.053
352004	Imbabura	4609	0.258	-78.183
314060	Imuruk Lake	610	65.517	-163.45
321070	Indian Heaven	1806	45.93	-121.82
357041	Infiernillo	3007	-35.123	-69.9
264090	Inielika	1559	-8.73	120.98
264080	Inierie	2245	-8.875	120.95
284120	Ioto	169	24.751	141.289
282020	Io-Torishima	212	27.881	128.223
342190	Ipala	1650	14.55	-89.63
345060	Irazu	3432	9.979	-83.852
341023	"Isabel, Isla"	95	21.848	-105.886
273042	Isarog	1966	13.658	123.38
211030	Ischia	789	40.73	13.897
320090	Iskut-Unuk River Cones	1880	56.58	-130.55
233014	Itasy Volcanic Field	1800	-19.033	46.7
231050	"Ithnayn, Harrat"	1625	26.58	40.2
283270	Iwakisan	1625	40.656	140.303
283240	Iwatesan	2038	39.853	141.001
342180	Ixtepeque	1292	14.42	-89.68
264110	Iya	618	-8.891	121.641
263330	Iyang-Argapura	3088	-7.97	113.57
341082	Iztaccihuatl	5230	19.179	-98.642
284010	Izu-Oshima	758	34.724	139.394
283010	Izu-Tobu	1406	34.9	139.098
284090	Izu-Torishima	394	30.484	140.303
268051	Jailolo	993	1.08	127.439
390829	James Ross Island	1630	-64.15	-57.75
376010	Jan Mayen	2197	71.082	-8.155
355036	Jatun Mundo Quri Warani	5438	-19.78	-66.48
355035	"Jayu Khota, Laguna"	3650	-19.463	-67.432
